epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,461.746,1.24835,3.03607,0.00359,0.91907,0.88559,0.92938,0.63031,1.19139,3.3212,0.0048,0.0149725,0.00499083,0.0149725,0.00499083,0.015156,0.00517431,0.0149725,0.00499083
2,867.347,1.28862,3.26647,0.00367,0.91884,0.87717,0.9243,0.62143,1.20538,3.40974,0.00485,0.014703,0.004901,0.014703,0.004901,0.014703,0.004901,0.014703,0.004901
3,1270.72,1.29192,3.27824,0.00365,0.91594,0.88998,0.92763,0.62516,1.21636,3.33792,0.00488,0.014406,0.004802,0.014406,0.004802,0.014406,0.004802,0.014406,0.004802
4,1673.78,1.29231,3.28045,0.00366,0.91446,0.8888,0.93014,0.62533,1.20564,3.34201,0.00478,0.014109,0.004703,0.014109,0.004703,0.014109,0.004703,0.014109,0.004703
5,2080.56,1.28731,3.28594,0.00364,0.9228,0.88574,0.93168,0.62803,1.19719,3.31474,0.00479,0.013812,0.004604,0.013812,0.004604,0.013812,0.004604,0.013812,0.004604
6,2483.43,1.28845,3.30563,0.00364,0.91676,0.89678,0.93043,0.6262,1.19516,3.33706,0.00492,0.013515,0.004505,0.013515,0.004505,0.013515,0.004505,0.013515,0.004505
7,2886.5,1.28829,3.30084,0.00362,0.91819,0.89577,0.93308,0.63124,1.18773,3.30155,0.0047,0.013218,0.004406,0.013218,0.004406,0.013218,0.004406,0.013218,0.004406
8,3289.51,1.28655,3.29196,0.00361,0.92708,0.89115,0.93166,0.63067,1.18845,3.30168,0.00467,0.012921,0.004307,0.012921,0.004307,0.012921,0.004307,0.012921,0.004307
9,3691.2,1.28482,3.29512,0.00358,0.92116,0.89811,0.93512,0.64417,1.15593,3.15747,0.00453,0.012624,0.004208,0.012624,0.004208,0.012624,0.004208,0.012624,0.004208
10,4092.89,1.28392,3.26127,0.00362,0.92217,0.90949,0.93704,0.64454,1.16081,3.17923,0.00452,0.012327,0.004109,0.012327,0.004109,0.012327,0.004109,0.012327,0.004109
11,4495.52,1.28146,3.2353,0.00359,0.92878,0.89541,0.93758,0.64107,1.16543,3.17103,0.00464,0.01203,0.00401,0.01203,0.00401,0.01203,0.00401,0.01203,0.00401
12,4897.21,1.27827,3.24373,0.00358,0.92194,0.90353,0.93928,0.64861,1.14901,3.16228,0.00447,0.011733,0.003911,0.011733,0.003911,0.011733,0.003911,0.011733,0.003911
13,5300.42,1.27329,3.21869,0.00355,0.93282,0.89928,0.9399,0.64915,1.14399,3.07619,0.00452,0.011436,0.003812,0.011436,0.003812,0.011436,0.003812,0.011436,0.003812
14,5703.98,1.27762,3.22501,0.00355,0.92617,0.90733,0.93992,0.65255,1.13466,3.0857,0.00445,0.011139,0.003713,0.011139,0.003713,0.011139,0.003713,0.011139,0.003713
