epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1146.01,1.21624,5.56704,0.00595,0.84725,0.75772,0.84437,0.55934,1.12827,5.34344,0.00886,0.000333258,0.000333258,0.0670074
2,2201.87,1.18373,4.87065,0.00586,0.87553,0.82677,0.89184,0.62577,0.9796,4.11846,0.00726,0.000659992,0.000659992,0.0340008
3,3228.43,1.14845,4.59712,0.00559,0.89363,0.84346,0.91005,0.65193,0.91225,3.72227,0.00646,0.000980126,0.000980126,0.000987644
4,4245.91,1.11013,4.35575,0.0053,0.90632,0.85548,0.91855,0.66616,0.87552,3.29585,0.00637,0.0009703,0.0009703,0.0009703
5,5266.17,1.08095,4.15436,0.0051,0.90837,0.87102,0.92764,0.68225,0.84255,3.18114,0.00585,0.0009604,0.0009604,0.0009604
6,6285.78,1.05173,4.0084,0.0049,0.9136,0.87711,0.93047,0.69458,0.81369,3.09061,0.00557,0.0009505,0.0009505,0.0009505
7,7310.92,1.0311,3.86417,0.00474,0.91432,0.88335,0.93499,0.70114,0.79561,3.03379,0.0053,0.0009406,0.0009406,0.0009406
8,8330.67,1.01893,3.77518,0.00465,0.92269,0.88594,0.93762,0.70735,0.78382,2.90087,0.00527,0.0009307,0.0009307,0.0009307
9,9352.85,1.00528,3.7178,0.00455,0.92492,0.88701,0.93943,0.7107,0.77489,2.91236,0.00511,0.0009208,0.0009208,0.0009208
10,10377.2,0.9922,3.6367,0.00447,0.92216,0.89374,0.94057,0.71472,0.76227,2.81645,0.005,0.0009109,0.0009109,0.0009109
11,11401.7,0.98108,3.56846,0.00441,0.92462,0.89246,0.94185,0.7179,0.75141,2.76188,0.00494,0.000901,0.000901,0.000901
12,12431.6,0.97594,3.52687,0.00436,0.92684,0.896,0.94254,0.72075,0.74668,2.72541,0.00488,0.0008911,0.0008911,0.0008911
13,13459,0.96956,3.47643,0.00436,0.92551,0.89813,0.94298,0.72173,0.74241,2.71958,0.00482,0.0008812,0.0008812,0.0008812
14,14486.2,0.95942,3.44206,0.00423,0.92624,0.89826,0.94383,0.72291,0.73794,2.70289,0.00477,0.0008713,0.0008713,0.0008713
15,15513.9,0.95128,3.39122,0.00421,0.93033,0.89475,0.94447,0.72402,0.73529,2.68547,0.00475,0.0008614,0.0008614,0.0008614
16,16543.3,0.94752,3.38952,0.00415,0.92612,0.89802,0.9448,0.72551,0.7321,2.66526,0.00472,0.0008515,0.0008515,0.0008515
17,17575.1,0.94205,3.35253,0.00415,0.92374,0.90083,0.94532,0.72681,0.72931,2.65161,0.0047,0.0008416,0.0008416,0.0008416
18,18602.8,0.93657,3.30314,0.00412,0.93002,0.89677,0.94593,0.72754,0.72669,2.63237,0.00466,0.0008317,0.0008317,0.0008317
19,19633.6,0.93244,3.30592,0.00408,0.92609,0.90007,0.94614,0.72794,0.72425,2.62819,0.00463,0.0008218,0.0008218,0.0008218
