epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,897.432,1.17745,5.48855,0.00561,0.84147,0.74561,0.83464,0.53477,1.1733,5.4852,0.00888,0.000333183,0.000333183,0.0670149
2,1744.04,1.17304,4.80401,0.00575,0.88882,0.81243,0.8889,0.61548,0.98975,4.02655,0.00712,0.000659918,0.000659918,0.0340083
3,2551.17,1.13436,4.5096,0.00544,0.89537,0.83577,0.90308,0.63152,0.97184,3.87908,0.00717,0.000980053,0.000980053,0.000995088
4,3358.21,1.10855,4.30777,0.00523,0.90151,0.85117,0.91685,0.6586,0.91078,3.50223,0.00645,0.0009703,0.0009703,0.0009703
5,4163.56,1.0754,4.0979,0.00504,0.90606,0.85641,0.92222,0.67392,0.86701,3.3008,0.00599,0.0009604,0.0009604,0.0009604
6,4970.04,1.04874,3.94718,0.00484,0.90672,0.87503,0.93011,0.68815,0.83525,3.08254,0.0056,0.0009505,0.0009505,0.0009505
7,5777.88,1.03579,3.84182,0.00474,0.91445,0.88275,0.93362,0.69585,0.81266,3.00669,0.00539,0.0009406,0.0009406,0.0009406
8,6586.41,1.01369,3.73407,0.0046,0.92135,0.88414,0.9384,0.70472,0.79124,2.92139,0.00521,0.0009307,0.0009307,0.0009307
9,7392.55,1.00274,3.67054,0.00453,0.92669,0.88638,0.93987,0.7109,0.77632,2.85131,0.0051,0.0009208,0.0009208,0.0009208
10,8199.03,0.99478,3.60325,0.00448,0.92034,0.8961,0.94136,0.71518,0.76506,2.79234,0.00493,0.0009109,0.0009109,0.0009109
11,9004.97,0.97873,3.53173,0.00436,0.92343,0.89366,0.94303,0.71994,0.75426,2.72754,0.00487,0.000901,0.000901,0.000901
12,9812.83,0.97231,3.48335,0.0043,0.92689,0.89866,0.94583,0.72336,0.74502,2.6906,0.00478,0.0008911,0.0008911,0.0008911
