epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1625.86,0.95364,5.17903,0.00394,0.87654,0.82375,0.89676,0.64441,0.85969,3.91707,0.00545,0.00999549,0.00333183,0.00999549,0.00333183,0.0766772,0.0700135,0.00999549,0.00333183
2,3016.15,1.00246,4.12942,0.0044,0.89838,0.84533,0.91071,0.65835,0.87434,3.6141,0.00576,0.0197975,0.00659918,0.0197975,0.00659918,0.0531459,0.0399475,0.0197975,0.00659918
3,4187.13,1.09361,4.54693,0.005,0.88441,0.82353,0.89251,0.62295,0.98955,4.09102,0.00697,0.0294016,0.00980053,0.0294016,0.00980053,0.0294166,0.00981556,0.0294016,0.00980053
4,5357.25,1.15107,4.69369,0.00535,0.89855,0.85081,0.91377,0.65485,0.92282,3.55969,0.00639,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,6528.44,1.10366,4.33988,0.00512,0.90405,0.86662,0.92365,0.67523,0.86303,3.31211,0.00587,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,7701.21,1.07564,4.12819,0.00492,0.91164,0.87103,0.92806,0.68668,0.8376,3.16008,0.00574,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,8871.25,1.05466,3.99156,0.00477,0.91753,0.87962,0.93428,0.70117,0.80746,3.01445,0.0052,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,10040.9,1.04345,3.90169,0.0047,0.92518,0.88127,0.93616,0.706,0.78946,2.98079,0.00513,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,11210.6,1.03171,3.85969,0.00463,0.92959,0.88285,0.93837,0.7113,0.77058,2.89637,0.00497,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,12380.3,1.02348,3.80189,0.00458,0.92699,0.8915,0.94087,0.7167,0.75972,2.82436,0.00484,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,13548.7,1.01403,3.73527,0.00452,0.92675,0.89174,0.94091,0.718,0.7509,2.78743,0.00474,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,14719.3,1.00934,3.68013,0.00445,0.92479,0.89611,0.94276,0.72185,0.74519,2.74896,0.00466,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,15890.7,1.00112,3.64127,0.00445,0.93073,0.89279,0.94288,0.72409,0.73826,2.71889,0.00457,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,17062.4,0.99821,3.57973,0.00443,0.92884,0.89597,0.94428,0.72694,0.733,2.69424,0.00452,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,18234,0.9946,3.58388,0.00442,0.92645,0.90021,0.94445,0.7274,0.73131,2.67736,0.00454,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,19404.8,0.99409,3.58625,0.00439,0.92645,0.90298,0.9448,0.72875,0.72914,2.67022,0.00452,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,20575.2,0.99154,3.55667,0.00438,0.92865,0.89926,0.94513,0.72952,0.72746,2.66994,0.0045,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,21749.8,0.98694,3.52646,0.00434,0.92684,0.89889,0.94499,0.72973,0.72455,2.6819,0.00446,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,22920.4,0.98353,3.50784,0.00434,0.92999,0.89713,0.94468,0.73018,0.72364,2.66671,0.00445,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,24091,0.9823,3.51692,0.00433,0.93093,0.89527,0.94447,0.73042,0.72227,2.67637,0.00445,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,25262.2,0.97928,3.50363,0.00431,0.92643,0.89619,0.94394,0.73068,0.72012,2.68078,0.00442,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,26433.8,0.97237,3.47452,0.00427,0.92404,0.8985,0.94396,0.73084,0.71895,2.68042,0.00442,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,27607.1,0.97351,3.44641,0.00426,0.92489,0.89768,0.94353,0.7311,0.71822,2.69428,0.00441,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,28777.1,0.9728,3.43755,0.00426,0.92338,0.89644,0.943,0.73126,0.71624,2.7025,0.0044,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,29947.8,0.97281,3.42706,0.00424,0.92443,0.89678,0.94364,0.73241,0.71536,2.69444,0.00439,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,31116.8,0.97066,3.40212,0.00424,0.9216,0.89717,0.94288,0.73203,0.71403,2.71755,0.00438,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,32287.1,0.96727,3.3914,0.00422,0.92894,0.89444,0.94362,0.73304,0.71349,2.67846,0.00438,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,33457.6,0.96468,3.38025,0.00421,0.92839,0.89441,0.94311,0.73315,0.7119,2.68152,0.00437,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,34628.3,0.96152,3.37504,0.00419,0.92735,0.8956,0.94351,0.73397,0.71061,2.66618,0.00436,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,35797.6,0.96081,3.38197,0.00418,0.92176,0.89733,0.94141,0.7325,0.71006,2.68726,0.00436,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,36966.4,0.95784,3.33902,0.00417,0.91904,0.8986,0.94029,0.73228,0.70879,2.68993,0.00433,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,38134,0.956,3.33748,0.00415,0.92113,0.89722,0.94067,0.73227,0.70706,2.68138,0.00432,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,39301.5,0.95257,3.30862,0.00414,0.9225,0.89805,0.94204,0.73376,0.706,2.67146,0.00432,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,40469.2,0.95508,3.32906,0.00417,0.92706,0.89772,0.94301,0.73535,0.70555,2.64371,0.00431,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,41638.8,0.95202,3.32337,0.00414,0.92479,0.90037,0.9449,0.73681,0.70475,2.6296,0.00431,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,42806,0.95021,3.29904,0.00414,0.92734,0.89926,0.94544,0.7374,0.70454,2.62302,0.00429,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,43976.1,0.95163,3.30266,0.00413,0.93053,0.89621,0.94538,0.73738,0.70393,2.61771,0.00429,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,45145.5,0.94747,3.31594,0.00409,0.93331,0.89639,0.94708,0.73825,0.70225,2.61189,0.00426,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,46314.6,0.94731,3.26983,0.0041,0.9273,0.89983,0.94637,0.73804,0.7009,2.62546,0.00425,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,47495.9,0.94492,3.25462,0.00409,0.92493,0.90297,0.94626,0.73807,0.7004,2.60854,0.00425,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,48673.4,0.94506,3.24687,0.00407,0.92758,0.90114,0.94649,0.73866,0.699,2.59931,0.00424,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,49845.8,0.94144,3.25546,0.00407,0.92844,0.90209,0.94719,0.73926,0.69856,2.58462,0.00424,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,51015.7,0.93866,3.24231,0.00404,0.93044,0.9018,0.94825,0.74022,0.69818,2.57368,0.00424,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,52197.4,0.93438,3.2193,0.00403,0.92858,0.90199,0.94816,0.74117,0.69735,2.56765,0.00423,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,53371.5,0.93571,3.20702,0.00403,0.93499,0.89683,0.94845,0.74097,0.69659,2.56878,0.00422,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,54545.3,0.93187,3.18317,0.00401,0.93448,0.89602,0.94855,0.7411,0.69597,2.56918,0.00421,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,55711.7,0.93093,3.19016,0.00399,0.93237,0.89985,0.94892,0.74145,0.6951,2.56789,0.0042,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,56880.4,0.92775,3.16223,0.00399,0.93494,0.90135,0.94917,0.74189,0.69409,2.54695,0.00418,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,58046.3,0.92522,3.16055,0.00399,0.93682,0.90036,0.94959,0.7426,0.69376,2.53144,0.00418,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,59213.8,0.92488,3.1767,0.00397,0.94046,0.89886,0.94993,0.74259,0.69258,2.51492,0.00415,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,60381,0.92291,3.14443,0.00397,0.94122,0.89943,0.95014,0.74296,0.69272,2.50988,0.00416,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
